station_id,x_i,y_i
1017,2,3
1018,0,0
1019,4,4
1024,0,6
1025,5,5
1026,5,5
1028,0,5
1030,0,0
1031,0,0
1033,0,0
1038,7,7
1039,8,8
1040,0,0
1041,0,0
1042,3,3
1050,0,2
1051,0,0
1052,7,7
1055,1,3
1090,2,7
1091,4,5
1092,5,5
1093,2,2
1094,0,0
1095,1,1
1096,7,7
1097,1,1
1098,1,1
1102,3,6
171,1,2
1720,6,6
1721,5,5
1722,0,10
1723,0,0
1724,0,0
1725,0,0
1726,0,2
1727,6,6
1728,0,19
1729,4,4
1730,6,6
1731,0,2
1737,11,11
1738,9,11
1739,0,2
1743,1,1
1744,3,3
1745,0,2
1747,0,0
1748,0,5
1749,0,2
1752,2,2
1753,0,2
1754,3,3
1756,3,3
1757,0,0
1758,0,0
1763,1,12
1764,0,3
1765,1,1
1766,1,2
1767,0,3
1768,0,0
1769,8,8
1770,0,3
1798,1,3
1799,0,0
1800,1,2
1807,3,3
1808,1,6
1809,1,1
1813,0,3
1814,2,7
1815,0,0
1818,1,1
1819,0,0
1820,0,0
1821,3,3
1822,0,1
1823,3,3
1824,0,21
183,3,8
1859,0,0
1860,0,0
1864,2,2
1865,0,0
1866,0,0
1868,0,0
1869,0,0
1870,0,0
1871,0,0
1874,0,2
1877,0,0
189,5,5
225,4,4
2259,3,3
2263,2,2
2265,0,0
2268,5,5
246,0,4
247,3,3
248,14,15
249,3,3
250,1,14
251,1,1
252,0,0
253,2,2
254,1,1
255,0,0
256,3,3
257,2,6
258,1,3
259,2,13
260,2,2
261,0,1
262,4,4
264,0,4
265,3,4
266,0,0
273,1,3
275,0,2
277,0,0
280,0,0
284,0,0
285,8,8
289,2,4
290,0,0
296,3,3
297,0,0
340,0,4
341,0,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,1
347,1,1
349,0,4
350,1,1
351,0,0
352,0,0
353,0,0
354,0,0
355,0,1
356,0,0
357,0,1
358,12,12
359,0,1
366,2,2
648,0,0
820,0,5
860,0,0
862,0,0
863,0,0
864,0,0
865,0,0
866,0,3
867,0,0
868,0,0
869,0,1
870,0,3
871,0,0
872,0,0
873,0,0
874,0,0
875,0,0
876,0,0
877,3,3
878,0,0
879,0,0
880,0,0
881,0,0
882,0,0
883,0,0
884,0,0
885,0,0
887,0,0
888,0,0
889,0,1
890,0,1
891,0,0
901,0,0
980,0,0
982,0,0
991,0,0
